facility_id,city,state,year,industry_type,co2_emissions,unit_methane_emissions,unit_nitrous_oxide_emissions
1007025,PINE BLUFF,AR,2021,"C,D",5710.5,2.75,3.278
1006328,BALL GROUND,GA,2021,"C,HH",93.0,0.0,0.0
1003105,AMANDA,OH,2021,"C,HH",13.4,0.0,0.0
1005322,STEAMBOAT ROCK,IA,2021,C,105434.9,49.75,59.302
1003092,Ville Platte,LA,2021,"C,W",0.0,0.0,0.0
1007745,LENOX,MI,2021,"C,HH",0.0,53.0,124.266
1000456,WEST BABYLON,NY,2021,D,46777.9,21.75,26.82
1001884,ST. PETERSBURG,FL,2021,"C,HH",35681.0,2462.0,3851.65
1008162,PinkTecumseh,OK,2021,"C,W",37092.2,17.5,20.86
1004288,CORNING,IA,2021,C,109621.7,51.75,61.686
1014400,Brunswick,GA,2021,C,52397.0,24.75,29.502
1012414,San Diego,CA,2021,D,10039.3,4.75,5.96
1005029,Opal,WY,2021,"C,W",22121.1,10.5,12.516
1011315,Williston,ND,2021,"C,D",55007.5,25.5,29.8
